row_id,seed_type,seed_span_id,clause_no,cso_classification,title,ordering_agency,department,unit_task,production_date,subject_category,matched_span_text,non_disclosure_reason,body_text,disclosure_status,document_status,source,source_url,doc_type,is_synthetic,field_source,status,model,tokens_in,tokens_out,gen_time_s,sampling_seed,prompt_version,template_id,template_violations
5-span-0,span_seeded,148,5,S,[문서 근거] 감사·검사·입찰계약·기술개발·인사관리 내부검토 — 고용노동부,고용노동부,고용노동부,노무 제공 계약,2023-08-15,감사·검사·입찰계약·기술개발·인사관리 내부검토,규모점포나준대규모점포를운 영하는사업또는체인사업에서 그사업주나운수사업자와노 무제공계약을체결하여「자동 차관리법」제3조제1항제3호의 일반형화물자동차또는특수용 도형화물자동차로상품을물류 센터로운송하거나점포또는 소비자에게배송하는업무를하 는사람 나. 유통산업발전법」에따른무점포,제5호 — 감사·검사·입찰계약·기술개발·인사관리 내부검토,"1. 개정이유
가. 노무제공자의 보수액은 ""소득세법상 사업소득(소득세법 제19조)과 기타소득(제21조)에서 비과세소득, 경비 등을 제외한 금액""이며, 보수액에서 제외하는 경비는 고용노동부 장관이 고시하도록 규정되어 있음을 명시합니다.*

* 고용산재보험료 징수법 시행령 제56조의6제2항

나. '26.6월말에 기존 고시의 유효기간 만료가 예정되어 있으므로, 국세청 기준 경비율 등을 반영하여 고용보험 적용 노무제공자 직종별 필요 경비 공제율을 현행화할 필요가 있습니다.

2. 주요내용
올해 고시된 국세청 기준 경비율* ('26.3월 고시)과 직종 실태 조사 결과를 반영해 고용보험이 적용되는 노무제공자의 직종별 필요 경비 공제율을 정함(안 제2호 나목)

* 국세청 고시 제2026-14호 ('26.3.30 시행)

3. 참고사항
가. 관계법령: 고용보험법령, 고용산재보험료 징수법령
나. 예산조치: 별도 조치 필요 없음
다. 합의: 해당기관 없음
라. 기타: 신․구조문 대비표, 별첨

고용노동부 고시 제2026-46호

노무제공자의 기준 보수 및 보수액에서 제외하는 필요 경비 고시 일부 개정 고시안

노무제공자의 기준 보수 및 보수액에서 제외하는 필요 경비 고시 일부를 다음과 같이 개정합니다. 제2호 나목의 표를 다음과 같이 합니다.",비공개,,synthetic-llm,,notification,True,"{""ordering_agency"": ""resolved_from_real_document"", ""clause_no"": ""matched_by_candidates_span"", ""matched_span_text"": ""copied_from_real_document"", ""department"": ""synthesized"", ""unit_task"": ""synthesized"", ""production_date"": ""synthesized"", ""body_text"": ""synthesized_from_source_document""}",ok,gpt-4o-mini,4089,457,8.2,42,span-seeded-v1-20260720,,
5-span-1,span_seeded,62,5,S,[문서 근거] 감사·검사·입찰계약·기술개발·인사관리 내부검토 — 고용노동부,고용노동부,고용노동부,노무제공자의 기준 보수 및 보수액에서 제외하는 필요경비,2023-08-15,감사·검사·입찰계약·기술개발·인사관리 내부검토,체인사업에서그사업주나운수사업자와노무제공계약을체결하여「자동차관 리법」제3조제1항제3호의일반형화물자동차또는특수용도형화물자동차로상 품을물류센터로운송하거나점포또는소비자에게배송하는업무를하는사람 나. 「유통산업발전법」에따른무점포판매업을운영하는사업에서그사업주나운수,제5호 — 감사·검사·입찰계약·기술개발·인사관리 내부검토,"고용노동부는 2026년 6월 말에 기존 고시의 유효기간이 만료될 예정임에 따라, 국세청 기준 경비율 등을 반영하여 고용보험 적용 노무제공자 직종별 필요 경비 공제율을 현행화할 필요성이 있음을 느끼고 이를 개정하였습니다. 이 개정의 주요 내용은 올해 고시된 국세청 기준 경비율(2026년 3월 고시)과 직종 실태조사 결과를 기반으로 하여, 고용보험이 적용되는 노무제공자의 직종별 필요 경비 공제율을 제정하는 것입니다. 이와 관련하여, 유통산업발전법에 따른 대규모 점포 또는 준대규모 점포를 운영하는 사업 또는 체인 사업에서 사업주나 운수사업자와의 노무 제공 계약을 통해 자동차관리법의 일반형 화물 자동차를 활용하여 물품을 물류센터로 운송하거나 소비자에게 배송하는 업무를 하는 이들에 대한 세부 공제율이 설정되어 있습니다. 본 고시는 관련 법령을 준수하여 적법하게 진행되며, 상세 내용은 고용노동부 홈페이지에 게시될 예정입니다.",비공개,,synthetic-llm,,notification,True,"{""ordering_agency"": ""resolved_from_real_document"", ""clause_no"": ""matched_by_candidates_span"", ""matched_span_text"": ""copied_from_real_document"", ""department"": ""synthesized"", ""unit_task"": ""synthesized"", ""production_date"": ""synthesized"", ""body_text"": ""synthesized_from_source_document""}",ok,gpt-4o-mini,4089,317,3.84,42,span-seeded-v1-20260720,,
5-span-2,span_seeded,53,5,S,[문서 근거] 감사·검사·입찰계약·기술개발·인사관리 내부검토 — 고용노동부,고용노동부,고용노동부,노무 제공자 기준 보수 고시,2023-09-27,감사·검사·입찰계약·기술개발·인사관리 내부검토,점포를직영하는사업또는「가맹사업거래의공정화에관한법률」에따른가 맹사업으로한정한다)에서그사업주나운수사업자와노무제공계약을체결하여,제5호 — 감사·검사·입찰계약·기술개발·인사관리 내부검토,"고용노동부고시제2026-46호 노무제공자의 기준보수 및 보수액에서 제외하는 필요경비 고시

「고용보험 및 산업재해보상보험의 보험료 징수 등에 관한 법률」 제3조 제1항 및 같은 법 시행령 제3조 제4항 제4호에 따른 노무제공자의 기준보수 및 「고용보험 및 산업재해보상보험의 보험료 징수 등에 관한 법률」 제48조의3 제3항 본문 및 같은 법 시행령 제56조의6 제2항의 위임에 따라 노무제공자의 보수액에서 제외하는 필요경비를 다음과 같이 고시합니다.

2026년 6월 15일 고용노동부장관

1. 노무제공자의 기준보수
「고용보험법」 제77조의6에 따른 노무제공자의 월단위 기준보수액: 월 1,330,000원

2. 노무제공자의 보수액에서 제외하는 필요경비
가. 공제산식: {(사업소득 또는 기타소득) - (사업소득 또는 기타소득 중 「소득세법」 제12조 제2호 또는 제5호에 따른 비과세소득)} × (직종별 공제율)
나. 직종별 공제율

직종 공제율(%)
1. 보험을 모집하는 사람으로서 다음 각목의 어느 하나에 해당하는 사람
가. 「보험업법」 제84조 제1항에 따라 등록한 보험설계사
나. 「우체국예금ㆍ보험에 관한 법률」에 따른 우체국보험의 모집을 전업으로 하는 사람
28.5

2. 「통계법」 제22조에 따라 통계청장이 고시하는 직업에 관한 표준분류의 세분류에 따른 학습지·교구관련 방문강사 등 회원의 가정 등을 직접 방문하여 아동이나 학생 등을 가르치는 사람
31.5

3. 한국표준직업분류표의 세분류에 따른 택배원 또는 세세분류에 따른 그 외 배달원인 사람으로서 택배사업에서 집화 또는 배송업무를 하는 사람
34.6

4. 「대부업 등의 등록 및 금융이용자 보호에 관한 법률」 제3조 제1항 단서에 따른 대출 모집인
28.6

5. 「여신전문금융업법」 제14조의2 제1항 제2호에 따른 신용카드 회원 모집인(전업으로 하는 사람만 해당한다)
29.2

6. 「방문판매 등에 관한 법률」 제2조 제2호에 따른 방문판매원 또는 같은 조 제8호에 따른 후원 방문판매원으로서 상시적으로 방문판매업무를 하는 사람
19.9

7. 한국표준직업분류표의 세분류에 따른 대여제품 방문점검원
29.9

8. 가전제품의 판매를 위한 배송업무를 주로 수행하고 가전제품의 설치, 시운전 등을 통해 작동상태를 확인하는 사람
31.4

9. 「초·중등교육법」 제2조에 따른 학교에서 운영하는 방과후학교의 과정을 담당하는 강사
19.3

10. 한국표준직업분류표의 세분류에 따른 늘찬배달원으로서 퀵서비스업자로부터 업무를 의뢰받아 배송업무를 하는 사람
19.8

11. 대리운전업자(자동차 이용자의 요청에 따라 목적지까지 유상으로 그 자동차를 운전하도록 하는 사업의 사업주를 말한다)로부터 업무를 의뢰받아 대리운전업무를 하는 사람
32.2

12. 「화물자동차운수사업법」에 따른 화물차주로서 다음 각목의 어느 하나에 해당하는 사람
가. 「유통산업발전법」에 따른 대규모점포나 준대규모점포를 운영하는 사업 또는 체인사업에서 그 사업주나 운수사업자와 노무제공계약을 체결하여 그 사업을 하는 사람
49.9

3. 행정사항
가. 시행일: 이 고시는 2026년 7월 1일부터 시행한다.
나. 유효기간: 이 고시는「훈령ㆍ예규 등의 발령 및 관리에 관한 규정」에 따라 시행일부터 2027년 6월 30일까지 효력을 가진다.
다. 이 고시는 노동시장 여건 변화 등에 따라 유효기간 중 변경될 수 있다.",비공개,,synthetic-llm,,notification,True,"{""ordering_agency"": ""resolved_from_real_document"", ""clause_no"": ""matched_by_candidates_span"", ""matched_span_text"": ""copied_from_real_document"", ""department"": ""synthesized"", ""unit_task"": ""synthesized"", ""production_date"": ""synthesized"", ""body_text"": ""synthesized_from_source_document""}",ok,gpt-4o-mini,2553,1103,10.94,42,span-seeded-v1-20260720,,
6-fallback-0,synthetic_fallback,,6,S,"[합성] 특정 민원인의 개인정보(성명, 주민등록번호, 주소, 연락처)가 포함된 민원 처리 결과 통보서",국민연금공단,,,2025-04-30,성명·주민등록 등 개인정보,,제6호 — 성명·주민등록 등 개인정보,"**국민연금공단**  
**문서번호: 2025-0429-001**  
**발신일자: 2025-04-30**  

**안건: 민원처리 결과 통보서**  

**개요**  
작성된 민원 처리 결과에 대해 아래와 같이 통보합니다. 본 통보서에는 민원인의 개인정보가 포함되어 있으므로, 외부 유출에 유의하시기 바랍니다.

**민원인 정보**  
- 성명: 홍길동  
- 주민등록번호: 123456-1234567  
- 주소: 서울특별시 강남구 테헤란로 123  
- 연락처: 010-1234-5678  

**민원 내용**  
- 민원 번호: 2025-0001  
- 민원 제목: 국민연금 수급 자격 확인 요청  

**처리 결과**  
귀하의 민원에 대해 다음과 같이 처리되었음을 알려드립니다.  
귀하는 현재 국민연금 수급 자격이 확인되었으며, 관련 지급액은 매월 지원될 예정입니다. 지급 시작일은 2025년 5월 1일입니다.  

**추가 안내**  
추가적인 문의 사항이 있으실 경우, 아래의 연락처로 문의하여 주시기 바랍니다.  
- 담당자: 이정민  
- 전화번호: 02-9876-5432  

**붙임**  
1. 민원 처리 결과 상세자료(비공개)  

국민연금공단은 개인정보 보호를 위해 항상 최선을 다하고 있음을 알려드립니다.  
감사합니다.  ",비공개,,synthetic-llm,,personnel,True,"{""ordering_agency"": ""sampled_from_real_db_value"", ""production_date"": ""sampled_from_real_db_value"", ""body_text"": ""synthesized""}",ok,gpt-4o-mini,,,4.28,42,fallback-v2-20260720,T6-1,
6-fallback-1,synthetic_fallback,,6,S,"[합성] 특정 민원인의 개인정보(성명, 주민등록번호, 주소, 연락처)가 포함된 민원 처리 결과 통보서",한전KDN,,,2025-06-30,성명·주민등록 등 개인정보,,제6호 — 성명·주민등록 등 개인정보,"안건: 민원 처리 결과 통보서

수신: 민원인 (가상 성명: 김철수)  
발신: 한전KDN  
작성일자: 2025-06-30  
문서번호: 한전KDN-2025-민원-0084  
담당자: 홍길동  
전화번호: 010-1234-5678  

개요: 본 통보서는 귀하께서 제출하신 민원에 대한 처리 결과를 안내드리고자 합니다. 민원 내용은 귀하의 개인정보가 포함되어 있으므로, 별도의 확인 없이는 공개할 수 없습니다.

1. 민원 처리 결과  
- 민원인 성명: 김철수  
- 주민등록번호: ****-****1234  
- 주소: 서울특별시 강남구 테헤란로 123  
- 연락처: 010-9876-5432  

2. 처리 결과 안내  
귀하께서 요청하신 사항에 대하여, 다음과 같이 처리되었음을 알려드립니다.  
(세부 처리 내용은 비공개로 되어 있으며, 참고 바랍니다.)

3. 향후 안내 사항  
추가적인 문의가 필요하실 경우, 담당자에게 연락 주시기 바랍니다. 귀하의 개인정보 보호를 위하여 본 통보서는 비공식적인 복제를 금지합니다.

붙임: 개인정보 보호 관련 안내문  
연락처: 한전KDN 고객센터 (전화번호: 1234-5678)  

이상입니다.  
한전KDN 드림.",비공개,,synthetic-llm,,personnel,True,"{""ordering_agency"": ""sampled_from_real_db_value"", ""production_date"": ""sampled_from_real_db_value"", ""body_text"": ""synthesized""}",ok,gpt-4o-mini,,,3.92,42,fallback-v2-20260720,T6-1,
6-fallback-2,synthetic_fallback,,6,S,"[합성] 특정 민원인의 개인정보(성명, 주민등록번호, 주소, 연락처)가 포함된 민원 처리 결과 통보서",한전KDN,,,2026-01-05,성명·주민등록 등 개인정보,,제6호 — 성명·주민등록 등 개인정보,"안건: 민원 처리 결과 통보서

수신: (민원인 성명)
      (민원인 주소)
      (민원인 연락처)

발신: 한전KDN
      담당자: 김철수
      전화번호: 02-1234-5678
      문서번호: 한전KDN-2026-001

작성일자: 2026-01-05

개요:
본 통보서는 민원인께서 제출하신 요청사항에 대한 처리 결과를 안내드리고자 작성되었습니다. 민원인의 개인 정보 보호를 위해 성명 및 연락처 등의 세부사항은 별도로 기재하지 않음을 양해 부탁드립니다.

처리 결과:
민원인께서 요청하신 사항에 대해 아래와 같이 처리되었습니다.

1. 민원 내용: (민원인의 요청사항 간략히 기재)
2. 처리 결과: (처리 결과에 대한 상세 기재)
3. 추가 사항: 향후 관련하여 궁금하신 점이나 추가 요청이 있으실 경우, 상기 연락처로 문의하여 주시기 바랍니다.

붙임:
본 문서는 개인 정보 보호를 위하여 성명, 주민등록번호 및 구체적인 주소 등의 정보는 미첨부됨을 양해 부탁드립니다.

감사합니다.

한전KDN 드림",비공개,,synthetic-llm,,personnel,True,"{""ordering_agency"": ""sampled_from_real_db_value"", ""production_date"": ""sampled_from_real_db_value"", ""body_text"": ""synthesized""}",ok,gpt-4o-mini,,,3.46,42,fallback-v2-20260720,T6-1,
7-span-0,span_seeded,38,7,S,[문서 근거] 법인·개인 경영상·영업상 비밀 — 고용노동부,고용노동부,고용노동부,안전검사 수수료 안내,2023-10-01,법인·개인 경영상·영업상 비밀,"117,000원을 가산한 금액. 다만, 500,000원을 ",제7호 — 법인·개인 경영상·영업상 비밀,"◉고용노동부고시제2026-332호
｢산업안전보건법｣ 제166조제1항, 같은 법 시행규칙 제242조제1항 및 ｢산업안전보건업무 수수료｣(고시)에 따라 안전검사 수수료가 다음과 같이 변경되어 이를 고시합니다.
2026년 06월 26일
고용노동부장관

안전검사 수수료 변경
□ 안전검사 수수료
안전검사대상
안전검사수수료(~'26.6.25.)
안전검사수수료('26.6.26.~)
크레인
천장, 갠트리
정격 하중
금액
정격 하중
금액
10톤 미만
77,000
10톤 미만
77,000
50톤 미만
83,000
50톤 미만
83,000
100톤 미만
87,000
100톤 미만
87,000
200톤 이하
93,000
200톤 이하
109,000
500톤 이하
117,000
500톤 이하
128,000
500톤 초과
117,000원에 500톤을 초과한 500톤 이내마다 117,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
500톤 초과
128,000원에 500톤을 초과한 500톤 이내마다 128,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
<...>
(이하 생략)",비공개,,synthetic-llm,,notification,True,"{""ordering_agency"": ""resolved_from_real_document"", ""clause_no"": ""matched_by_candidates_span"", ""matched_span_text"": ""copied_from_real_document"", ""department"": ""synthesized"", ""unit_task"": ""synthesized"", ""production_date"": ""synthesized"", ""body_text"": ""synthesized_from_source_document""}",ok,gpt-4o-mini,2978,415,4.57,42,span-seeded-v1-20260720,,
7-span-1,span_seeded,218,7,S,[문서 근거] 법인·개인 경영상·영업상 비밀 — 고용노동부,고용노동부,고용노동부,안전검사 수수료 조정,2023-09-01,법인·개인 경영상·영업상 비밀,"70,000원에 5,884KN을 초과한 5,884kN 이내마다 ",제7호 — 법인·개인 경영상·영업상 비밀,"◉고용노동부고시제2026-332호
｢산업안전보건법｣ 제166조제1항, 같은 법 시행규칙 제242조제1항 및 ｢산업안전보건업무 수수료｣(고시)에 따라 안전검사 수수료가 다음과 같이 변경되어 이를 고시합니다.
2026년 06월 26일
고용노동부장관
안전검사 수수료 변경
□ 안전검사 수수료
안전검사대상
안전검사수수료(~'26.6.25.)
안전검사수수료('26.6.26.~)

크레인
천장, 갠트리
정격 하중
금액
정격 하중
금액
10톤 미만
77,000
10톤 미만
77,000
50톤 미만
83,000
50톤 미만
83,000
100톤 미만
87,000
100톤 미만
87,000
200톤 이하
93,000
200톤 이하
109,000
500톤 이하
117,000
500톤 이하
128,000
500톤 초과
117,000원에 500톤을 초과한 500톤 이내마다 117,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
500톤 초과
128,000원에 500톤을 초과한 500톤 이내마다 128,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.

호이스트
정격 하중
금액
정격 하중
금액
5톤 미만
68,000
5톤 미만
68,000
5톤 이상
72,000
5톤 이상
72,000

타워
정격 하중
금액
정격 하중
금액
20톤 이하
168,000
20톤 이하
168,000
20톤 초과
168,000원에 20톤을 초과한 10톤 이내마다 3,000원을 가산한 금액.
20톤 초과
168,000원에 20톤을 초과한 10톤 이내마다 3,000원을 가산한 금액.
200톤 이하
268,000
200톤 이하
268,000
200톤 초과
268,000원에 200톤을 초과한 10톤 이내마다 3,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
200톤 초과
268,000원에 200톤을 초과한 10톤 이내마다 3,000원 가산한 금액. 다만, 500,000원을 초과할 수 없다.

지브, 기타
정격 하중
금액
정격 하중
금액
10톤 미만
100,000
10톤 미만
100,000
50톤 미만
114,000
50톤 미만
114,000
100톤 이하
136,000
100톤 이하
136,000
100톤 초과
136,000원에 100톤을 초과한 100톤 이내마다 136,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
100톤 초과
136,000원에 100톤을 초과한 100톤 이내마다 136,000원 가산한 금액. 다만, 500,000원을 초과할 수 없다.

이동식
-
68,000
-
76,000

언로우더
정격 하중
금액
정격 하중
금액
30톤 미만
170,000
30톤 미만
170,000
50톤 미만
219,000
50톤 미만
219,000
50톤 이상
248,000
50톤 이상
248,000

리프트
-
62,000
-
70,000

압력용기
내 용 적
금액
내 용 적
금액
2㎥ 미만
38,000
2㎥ 미만
44,000
5㎥ 미만
44,000
5㎥ 미만
50,000
30㎥ 미만
51,000
30㎥ 미만
57,000

안전검사대상
안전검사수수료(~'26.6.25.)
안전검사수수료('26.6.26.~)

40㎥ 이하
55,000
40㎥ 이하
64,000
100㎥ 이하
61,000
100㎥ 이하
70,000
100㎥ 초과
61,000원에 100㎥를 초과한 100㎥ 이내마다 61,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
100㎥ 초과
70,000원에 100㎥를 초과한 100㎥ 이내마다 70,000원 가산한 금액. 다만, 500,000원을 초과할 수 없다.

프레스 및 전단기
압력 능력
금액
압력 능력
금액
50톤 미만
40,000
50톤 미만
48,000
200톤 미만
51,000
200톤 미만
61,000
300톤 이하
60,000
300톤 이하
71,000
500톤 이하
72,000
500톤 이하
74,000
500톤 초과
72,000원에 500톤을 초과한 500톤 이내마다 72,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
500톤 초과
74,000원에 500톤을 초과한 500톤 이내마다 74,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.

롤러기
-
57,000
-
65,000

사출성형기
형체결력
금액
형체결력
금액
2,942kN 미만
51,000
2,942kN 미만
58,000
5,884kN 이하
60,000
5,884kN 이하
70,000
5,884kN 초과
60,000원에 5,884kN을 초과한 5,884kN 이내마다 60,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
5,884kN 초과
70,000원에 5,884KN을 초과한 5,884kN 이내마다 70,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.

원심기
-
58,000
-
61,000

곤돌라
-
62,000
-
70,000

국소배기장치
후드 배기유량
금액
후드 배기유량
금액
150㎥/min 이하
62,000
150㎥/min 이하
70,000
500㎥/min 이하
87,000
500㎥/min 이하
87,000
500㎥/min 초과
87,000원에 500㎥/min을 초과한 500㎥/min 이내마다 87,000원을 가산한 금액. 다만, 280,000원을 초과할 수 없다.
500㎥/min 초과
87,000원에 500㎥/min을 초과한 500㎥/min 이내마다 87,000원을 가산한 금액. 다만, 280,000원을 초과할 수 없다.

고소작업대
-
62,000
-
72,000

컨베이어
제어 또는
공정구간 이송거리
금액
제어 또는
공정구간 이송거리
금액
20m 이하
67,000
20m 이하
68,000
20m 초과
67,000원에 20m 초과한 10m 이내마다 7,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
20m 초과
68,000원에 20m 초과한 10m 이내마다 7,000원 가산한 금액. 다만, 500,000원을 초과할 수 없다.

산업용 로봇
셀내 로봇 대수
금액
셀내 로봇 대수
금액
1대
76,000
1대
76,000
1대 초과
76,000원에 1대 초과한 1대마다 12,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
1대 초과
76,000원에 1대 초과한 1대마다 12,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.

혼합기
<신 설>
구통모터 용량
금액
5kW 미만
44,000
20kW 미만
48,000
50kW 미만
51,000
50kW 이상
53,000

파쇄기 또는
분쇄기
<신 설>
구통모터 용량
금액
5kW 미만
46,000
20kW 미만
53,000
※ 차량탑재형 위험기계 3종(이동식 크레인, 고소작업대, 이삿짐운반용리프트)은 불합격 이후 재검사 신청 시 수수료 50%를 감면하여 적용한다.",비공개,,synthetic-llm,,notification,True,"{""ordering_agency"": ""resolved_from_real_document"", ""clause_no"": ""matched_by_candidates_span"", ""matched_span_text"": ""copied_from_real_document"", ""department"": ""synthesized"", ""unit_task"": ""synthesized"", ""production_date"": ""synthesized"", ""body_text"": ""synthesized_from_source_document""}",ok,gpt-4o-mini,2983,2299,24.3,42,span-seeded-v1-20260720,,
7-span-2,span_seeded,190,7,S,[문서 근거] 법인·개인 경영상·영업상 비밀 — 고용노동부,고용노동부,고용노동부,안전검사 수수료 변경 고시,2023-11-10,법인·개인 경영상·영업상 비밀,"72,000원을 가산한 금액. 다만, 500,000원을 ",제7호 — 법인·개인 경영상·영업상 비밀,"◉고용노동부고시제2026-332호
｢산업안전보건법｣ 제166조제1항, 같은 법 시행규칙 제242조제1항 및 ｢산업안전보건업무 수수료｣(고시)에 따라 안전검사 수수료가 다음과 같이 변경되어 이를 고시합니다.
2026년 06월 26일
고용노동부장관
안전검사 수수료 변경
□ 안전검사 수수료
안전검사대상
안전검사수수료(~'26.6.25.)
안전검사수수료('26.6.26.~)
크레인
천장, 갠트리
정격 하중
금액
정격 하중
금액
10톤 미만
77,000
10톤 미만
77,000
50톤 미만
83,000
50톤 미만
83,000
100톤 미만
87,000
100톤 미만
87,000
200톤 이하
93,000
200톤 이하
109,000
500톤 이하
117,000
500톤 이하
128,000
500톤 초과
117,000원에 500톤을 초과한 500톤 이내마다 117,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
500톤 초과
128,000원에 500톤을 초과한 500톤 이내마다 128,000원을 가산한 금액. 다만, 500,000원을 초과할 수 없다.
... (생략) ...",비공개,,synthetic-llm,,notification,True,"{""ordering_agency"": ""resolved_from_real_document"", ""clause_no"": ""matched_by_candidates_span"", ""matched_span_text"": ""copied_from_real_document"", ""department"": ""synthesized"", ""unit_task"": ""synthesized"", ""production_date"": ""synthesized"", ""body_text"": ""synthesized_from_source_document""}",ok,gpt-4o-mini,2978,412,4.27,42,span-seeded-v1-20260720,,
8-fallback-0,synthetic_fallback,,8,S,[합성] 공공기관 이전 부지 선정 관련 비공개 검토 자료,주식회사 에스알,,,2026-03-12,부동산 투기·매점매석 이익,,제8호 — 부동산 투기·매점매석 이익,"**주식회사 에스알**  
**생산일자: 2026-03-12**  

**문서번호: SR-2026-0312-001**  

---

**안건: 공공기관 이전 부지 선정 관련 비공개 검토 자료**

**개요**  
본 문서는 주식회사 에스알의 공공기관 이전 부지 선정과 관련하여, 내부 검토 사항을 정리한 자료로서, 외부 공개 시 특정인에게 부동산 투기 및 매점매석으로 인한 이익 또는 불이익을 초래할 우려가 있으므로 비공개를 요청함.

**1. 검토 배경**  
공공기관의 효율적 운영을 위하여 이전 부지 선정을 착수하였으며, 이를 위한 예비 후보지 분석이 필요함. 후보지는 지역 내 부동산 시장의 흐름, 접근성, 주변 환경 등을 종합적으로 고려하여 선정될 것임.

**2. 후보지 분석**  
   - 후보지 A  
     * 위치: 서울특별시 강남구 역삼동  
     * 면적: 5,000㎡  
     * 평가: 인프라가 잘 갖추어져 있으나, 인근에 이미 대규모 개발 계획이 존재함.  
   
   - 후보지 B  
     * 위치: 경기도 성남시 분당구 정자동  
     * 면적: 7,500㎡  
     * 평가: 교통 접근성이 우수하나, 재개발에 따른 논란이 있을 수 있음.  
   
   - 후보지 C  
     * 위치: 인천광역시 연수구 송도동  
     * 면적: 10,000㎡  
     * 평가: 대규모 개발이 예정되어 있는 곳으로, 향후 가치 상승 가능성이 큼.  

**3. 기대 효과**  
선정된 부지에 대한 공공기관의 이전이 성공적으로 이루어질 경우, 해당 지역의 고용 창출 및 지역 경제 활성화에 기여할 수 있음.

**4. 비공개 요청 사유**  
검토 사항 및 후보지 정보가 공개될 경우, 특정인에 의한 부동산 투기 및 매점매석 등으로 인한 부정적 결과가 초래될 수 있으므로, 모든 데이터의 비공개 유지 필요.

**붙임**  
- [부록 A] 후보지별 면접세부사항  
- [부록 B] 주변 인프라 및 개발 계획 자료  

**담당자 정보**  
- 담당자: 홍길동  
- 전화번호: 010-1234-5678  

끝.",비공개,,synthetic-llm,,plan,True,"{""ordering_agency"": ""sampled_from_real_db_value"", ""production_date"": ""sampled_from_real_db_value"", ""body_text"": ""synthesized""}",ok,gpt-4o-mini,,,7.49,42,fallback-v2-20260720,,
